B.mysti	Balaena_mysticetus_mitochondrial_DNA,_complete_genome	AP006472.1
B.taurus	Bos_taurus_mitochondrion,_complete_genome	AF492351.1
C.hir Capra_hircus_mitochondrion_sequence,_complete_genome	KJ940969.1
O.orca	Orcinus_orca_isolate_AntC2_mitochondrion,_complete_genome	GU187211.2
S.scrofa Sus_scrofa_breed_hetao_mitochondrion,_complete_genome	KX146493.1
A.gig	Arapaima_gigas_mitochondrion,_complete_genome	NC_010570.1
Croc.nil	Crocodylus_niloticus_mitochondrion,_complete_genome	DQ273697.1
D.delphi	Delphinus_delphis_delphis_voucher_KKS0025_isolate_SWFSC_MMASTR_191179_mitochondrion,_complete_genome	PP761298.1
E.maxa	Elephas_maximus_indicus_mitochondrion,_complete_genome	OP575307.1
E.aust	Eubalaena_australis_mitochondrial_DNA,_complete_genome	AP006473.1
H.amp	Hippopotamus_amphibius_mitochondrial_DNA,_complete_genome	AP003425.1
H.gig	Hydrodamalis_gigas_mitochondrion,_complete_genome	MH718932.1
H.lep	Hydrurga_leptonyx_mitochondrion,_complete_genome	NC_008425.1
M.mula	Macaca_mulatta_mitochondrial_DNA,_complete_genome	LC496787.1
O.ros	Odobenus_rosmarus_rosmarus_mitochondrion,_complete_genome	NC_004029.2
P.pip	Pipistrellus_pipistrellus_mitochondrion,_complete_genome	NC_088543.1
R.uni	Rhinoceros_unicornis_mitochondrion,_complete_genome	NC_001779.1
